transientid,volunteer_1,volunteer_2,volunteer_3,volunteer_4,volunteer_5,volunteer_6,volunteer_7,volunteer_8,volunteer_9,volunteer_10,label
34683,0,0,0,0,0,0,0,1,0,0,0
34694,0,0,0,0,0,0,0,0,0,0,0
34762,1,1,1,1,1,1,1,1,1,1,1
34782,1,1,0,1,1,1,1,1,1,0,1
34844,0,0,0,0,0,0,0,1,0,0,0
35001,0,0,0,0,0,0,0,1,0,0,0
35057,0,0,0,0,0,0,0,1,0,0,0
35204,0,0,0,0,0,0,0,1,0,0,0
35399,0,0,0,0,0,0,0,0,0,0,0
35799,0,0,0,0,0,0,0,0,0,0,0
35807,0,0,0,0,0,0,0,0,0,0,0
35920,0,0,0,0,0,0,0,0,0,0,0
36960,0,0,0,0,0,0,0,0,0,0,0
37089,1,0,0,1,0,0,1,1,0,1,1
37209,0,0,0,0,0,0,0,0,0,0,0
37214,0,0,0,0,0,0,0,0,0,0,0
37307,0,0,0,0,0,0,0,0,0,0,0
37457,1,1,1,1,1,1,1,1,1,1,1
37520,0,0,0,0,0,0,1,0,0,0,0
37630,0,0,0,0,0,0,0,0,0,0,0
37809,0,0,0,0,0,0,0,0,0,0,0
38215,1,1,1,0,0,1,1,1,1,0,1
38600,0,0,0,0,0,0,0,0,0,0,0
38756,0,0,0,0,0,0,0,1,0,0,0
38828,0,0,0,0,0,0,0,0,0,0,0
38839,1,1,1,1,1,1,1,0,1,0,1
38846,1,1,1,1,1,1,1,1,1,0,1
39370,0,0,0,0,0,0,0,1,0,0,0
39626,0,0,0,0,0,0,0,1,0,0,0
39890,0,0,0,0,0,0,0,1,0,0,0
40168,0,0,0,0,0,0,0,1,0,0,0
40195,0,0,0,0,0,0,0,0,0,0,0
40289,0,0,0,0,0,0,0,1,0,0,0
40291,0,0,0,0,0,0,0,1,0,0,0
40385,0,0,0,0,0,0,0,1,0,0,0
40489,0,0,0,0,0,0,0,0,0,0,0
40634,0,0,0,0,0,0,0,1,0,0,0
40787,0,0,0,0,0,0,0,1,0,0,0
40934,0,0,0,0,0,0,1,0,0,0,0
40949,0,0,0,0,0,0,0,1,0,0,0
41244,0,0,0,0,0,0,0,1,0,0,0
41702,0,0,0,0,0,0,0,0,0,0,0
42201,0,0,0,0,0,0,0,0,0,0,0
42233,0,0,0,0,0,0,0,0,0,0,0
43007,0,0,0,0,0,0,0,1,0,0,0
43026,0,0,0,0,0,0,0,1,0,0,0
43157,0,0,0,0,0,0,0,0,0,0,0
43339,0,0,0,0,0,0,0,1,0,0,0
44026,0,0,0,0,0,0,0,1,0,0,0
44281,0,0,0,0,0,0,0,0,0,0,0
44576,0,0,0,0,0,0,0,1,0,0,0
44879,0,0,0,0,0,0,0,0,0,0,0
45052,0,0,0,0,0,0,0,1,0,0,0
47460,1,0,0,0,0,0,0,0,0,0,0
47466,0,0,0,0,0,0,0,0,0,0,0
47471,0,0,0,0,0,0,0,0,0,0,0
47482,0,0,0,0,0,0,0,1,0,0,0
47582,0,0,0,0,0,0,0,1,0,0,0
47670,0,0,0,0,0,0,0,0,0,0,0
47708,0,0,0,0,0,0,0,0,0,0,0
47755,0,0,0,0,0,0,0,1,0,0,0
47848,0,0,0,0,0,0,0,0,0,0,0
48150,0,0,0,0,0,0,0,0,0,0,0
48426,0,0,0,0,0,0,0,0,0,0,0
48472,0,0,0,0,0,0,0,1,0,0,0
48491,0,0,0,0,0,0,0,0,0,0,0
48831,1,0,0,1,0,1,1,1,0,0,1
48914,0,0,0,0,0,0,0,0,0,0,0
48922,0,0,0,0,0,0,0,0,0,0,0
48995,0,0,0,0,0,0,0,1,0,0,0
49101,0,0,0,0,0,0,0,0,0,0,0
49105,0,0,0,0,0,0,0,1,0,0,0
49159,0,0,0,0,0,0,0,0,0,0,0
49232,0,0,0,0,0,0,0,1,0,0,0
123693,0,0,0,0,0,0,0,0,0,0,0
123697,0,0,0,0,0,0,0,0,0,0,0
123714,0,0,0,0,0,0,0,0,0,0,0
123716,0,0,0,0,0,0,0,0,0,0,0
123803,0,0,0,0,0,0,0,0,0,0,0
126324,1,1,1,1,1,1,1,1,1,1,1
126408,0,0,0,0,0,0,0,0,0,0,0
128944,0,0,0,0,0,0,0,0,0,0,0
128985,1,0,0,1,0,0,1,1,0,0,0
129014,0,0,0,0,0,0,0,0,0,0,0
130932,0,0,0,0,0,0,0,0,0,0,0
130939,0,0,0,0,0,0,0,1,0,0,0
130970,0,0,0,0,0,0,0,0,0,0,0
131026,0,0,0,0,0,0,0,0,0,0,0
131029,0,0,0,0,0,0,0,0,0,0,0
131030,0,0,0,0,0,0,0,0,0,0,0
131031,0,0,0,0,0,0,0,0,0,0,0
131192,0,0,0,0,0,0,0,0,0,0,0
131234,0,0,0,0,0,0,0,0,0,0,0
131641,1,0,0,1,0,0,0,1,0,0,0
132564,0,0,0,0,0,0,0,0,0,0,0
132572,0,0,0,0,0,0,0,0,0,0,0
132597,0,0,0,0,0,0,0,0,0,0,0
132600,0,0,0,0,0,0,0,0,0,0,0
133525,0,0,0,0,0,0,0,0,0,0,0
138359,0,0,0,0,0,0,0,0,0,0,0
138372,0,0,0,0,0,0,0,0,0,0,0
138381,0,0,0,0,0,0,0,0,0,0,0
138412,0,0,0,0,0,0,0,0,0,0,0
138426,0,0,0,0,0,0,0,0,0,0,0
138490,0,0,0,0,0,0,0,0,0,0,0
139691,0,0,0,0,0,0,0,0,0,0,0
140202,0,0,0,0,0,0,0,0,0,0,0
140363,0,0,0,0,0,0,0,0,0,0,0
140379,0,0,0,0,0,0,0,0,0,0,0
140399,0,0,0,0,0,0,0,0,0,0,0
140402,0,0,0,0,0,0,0,0,0,0,0
140840,0,0,0,0,0,0,0,0,0,0,0
140877,0,0,0,0,0,0,0,0,0,0,0
140882,0,0,0,0,0,0,0,0,0,0,0
140924,0,0,0,0,0,0,0,0,0,0,0
140953,0,0,0,0,0,0,0,0,0,0,0
140961,0,0,0,1,0,0,0,0,0,0,0
140968,0,0,0,0,0,0,0,0,0,0,0
140972,0,0,0,0,0,0,0,0,0,0,0
141375,1,1,1,1,1,1,1,1,1,1,1
141385,0,0,0,0,0,0,0,0,0,0,0
143041,0,0,0,0,0,0,0,1,0,0,0
146529,0,0,0,0,0,0,0,1,0,0,0
146539,0,0,0,0,0,0,0,1,0,0,0
146557,0,0,0,0,0,0,0,1,0,0,0
146570,0,0,0,0,0,0,0,1,0,0,0
149686,0,0,0,0,0,0,0,0,0,0,0
149830,0,0,0,0,0,0,0,0,0,0,0
149974,0,0,0,0,0,0,0,0,0,0,0
150011,1,1,1,1,1,1,1,1,1,1,1
150024,0,0,0,0,0,0,0,0,0,0,0
150028,0,0,0,0,0,0,1,0,0,0,0
150047,0,0,0,0,0,0,0,0,0,0,0
150069,0,0,0,0,0,0,0,0,0,0,0
150131,0,0,0,0,0,0,0,0,0,0,0
150134,0,0,0,0,0,0,0,0,0,0,0
151651,0,0,0,0,0,0,0,0,0,0,0
151672,1,1,1,1,1,1,1,1,0,1,1
151715,0,0,0,0,0,0,0,0,0,0,0
151733,0,0,0,0,0,0,0,0,0,0,0
151741,1,0,1,0,1,1,1,1,0,1,1
151820,0,0,0,0,0,0,0,0,0,0,0
151821,0,0,0,0,0,0,0,0,0,0,0
152463,0,0,0,0,0,0,0,1,0,0,0
154685,0,0,0,0,0,0,0,0,0,0,0
154720,0,0,0,0,0,0,1,0,0,1,0
154998,0,1,1,0,1,1,1,0,0,0,1
155209,0,0,0,0,0,0,0,0,0,0,0
155342,0,0,0,0,0,0,0,0,0,0,0
155361,0,0,0,0,0,0,0,1,0,0,0
155403,0,0,0,0,0,0,0,0,0,0,0
155480,0,0,0,0,0,0,0,0,0,0,0
155540,0,0,0,0,0,0,0,0,0,0,0
155569,0,0,0,0,0,0,0,0,0,0,0
155647,0,0,0,0,0,0,0,0,0,0,0
155661,0,0,0,0,0,0,0,0,0,0,0
155685,0,0,0,0,0,0,0,0,0,0,0
155773,0,0,0,0,0,0,0,0,0,0,0
155823,0,0,0,0,0,0,0,0,0,0,0
155826,1,1,1,1,1,1,1,1,0,1,1
155869,0,0,0,0,0,0,0,0,0,0,0
155954,0,0,0,0,0,0,0,0,0,0,0
156008,0,0,0,0,0,0,0,0,0,0,0
156029,0,0,0,0,0,0,0,0,0,0,0
157035,0,0,0,0,0,0,0,0,0,0,0
157483,0,0,0,0,0,0,0,0,0,0,0
157570,0,0,0,0,0,0,0,0,0,0,0
157622,0,0,0,0,0,0,0,0,0,0,0
157674,0,0,0,0,0,0,0,0,0,0,0
157684,0,0,0,0,0,0,0,0,0,0,0
157716,0,0,0,0,0,0,0,0,0,0,0
157725,0,0,0,0,0,0,0,0,0,0,0
157798,0,0,0,0,0,0,0,0,0,0,0
157800,0,0,0,0,0,0,0,0,0,0,0
157842,0,0,0,0,0,0,0,0,0,0,0
157934,0,0,0,0,0,0,0,0,0,0,0
157947,0,0,0,0,0,0,0,0,0,0,0
159550,0,0,0,0,0,0,0,0,0,0,0
159727,0,0,1,1,0,0,1,0,0,0,0
159752,0,0,0,0,0,0,0,0,0,0,0
159790,0,0,0,0,0,0,0,0,0,0,0
159798,0,0,0,0,0,0,0,0,0,0,0
160602,0,0,1,1,0,1,1,0,0,0,0
160604,0,0,1,1,0,1,1,0,0,0,0
160611,0,0,0,0,0,0,0,0,0,0,0
160646,0,0,1,1,0,0,1,0,0,0,0
173386,0,0,0,0,0,0,1,0,0,0,0
173966,0,0,0,0,0,0,0,0,0,0,0
173972,0,0,0,0,0,0,0,0,0,0,0
173993,0,0,0,0,0,0,0,0,0,0,0
174024,0,0,0,0,0,0,0,0,0,0,0
174076,0,0,0,0,0,0,0,0,0,0,0
174092,0,0,0,0,0,0,0,0,0,0,0
174114,0,0,0,0,0,0,0,0,0,0,0
174125,0,0,0,0,0,0,0,0,0,0,0
174290,0,0,0,0,0,0,0,0,0,0,0
174323,0,0,0,0,0,0,0,0,0,0,0
174328,0,0,0,0,0,0,0,0,0,0,0
174400,1,1,1,1,0,1,1,1,1,1,1
174519,1,1,1,1,1,1,1,1,1,1,1
174906,1,1,1,1,1,1,1,1,1,1,1
175001,1,1,1,1,1,1,1,1,1,1,1
175221,1,1,1,1,1,1,1,1,1,1,1
175543,1,1,1,1,1,1,1,1,1,1,1
175716,0,0,0,0,0,0,1,0,0,0,0
176075,0,1,1,1,1,1,1,1,0,1,1
176104,1,1,1,1,1,1,1,1,1,1,1
176149,0,0,0,0,0,0,1,0,0,0,0
176221,0,1,1,1,1,1,1,1,1,0,1
176467,0,1,1,1,1,1,1,1,1,0,1
176490,1,1,1,1,1,1,1,1,1,1,1
176523,0,0,0,0,0,0,1,0,0,0,0
176571,0,0,0,0,0,0,0,0,0,0,0
176638,0,0,0,0,0,0,1,0,0,0,0
181527,0,0,0,0,0,0,0,0,0,0,0
181581,1,1,1,1,1,1,1,1,1,1,1
181637,1,1,1,1,1,1,1,1,1,1,1
181671,1,1,1,1,1,1,1,1,1,1,1
181812,0,0,0,0,0,0,1,0,0,0,0
181840,0,0,0,0,0,0,0,0,0,0,0
182166,0,0,0,0,0,0,1,1,0,0,0
182182,0,0,0,0,0,0,1,0,0,0,0
182200,1,0,1,1,1,1,1,1,1,1,1
182219,0,0,0,0,0,0,1,0,0,0,0
182226,0,0,0,0,0,0,1,0,0,0,0
182271,1,1,1,1,1,1,1,1,1,1,1
182372,0,0,0,0,0,0,0,0,0,0,0
182403,0,0,0,1,1,0,1,0,0,0,0
182469,1,1,1,1,1,1,1,1,1,1,1
182516,0,0,1,1,1,1,1,0,1,1,1
182654,0,0,0,0,0,0,1,0,0,0,0
182676,1,1,1,1,1,1,1,1,1,1,1
182735,0,0,0,1,1,0,1,0,0,0,0
182740,1,1,1,1,1,1,1,1,1,1,1
182947,0,0,0,0,0,0,0,0,0,0,0
182980,0,0,0,0,0,0,0,0,0,0,0
183204,0,0,0,0,0,0,0,0,0,0,0
183246,0,0,0,0,0,0,0,0,0,0,0
183247,0,0,0,0,0,0,0,0,0,0,0
183263,0,0,0,0,0,0,0,0,0,0,0
183319,0,0,0,0,0,0,1,0,0,0,0
183503,0,0,0,0,0,0,1,0,0,0,0
183529,0,0,0,0,0,0,0,0,0,0,0
183607,0,0,0,0,0,0,0,0,0,0,0
183612,0,0,0,0,0,0,0,0,0,0,0
183676,0,0,0,0,0,0,0,0,0,0,0
183749,1,1,1,1,1,0,1,1,1,1,1
183773,0,0,0,0,0,0,0,0,0,0,0
183990,0,0,0,0,0,0,0,0,0,0,0
184068,0,0,0,0,0,0,0,0,0,0,0
184070,0,0,0,1,0,0,1,1,0,0,0
184079,0,0,0,0,0,1,1,0,0,0,0
184101,0,0,0,0,0,0,0,0,0,0,0
184115,1,1,1,1,1,1,1,1,1,1,1
184165,0,0,0,0,0,0,0,0,0,0,0
185014,0,0,0,0,0,0,0,0,0,0,0
185025,1,1,1,1,1,1,1,1,0,1,1
185076,0,1,1,0,0,1,1,0,1,0,1
185120,1,1,1,1,1,1,1,1,1,1,1
185138,0,0,0,0,0,0,0,0,0,0,0
185157,0,0,0,0,0,0,0,0,0,0,0
190099,1,1,1,1,1,1,1,1,1,0,1
190101,0,0,0,0,0,0,0,0,0,0,0
190102,0,0,0,0,0,0,0,0,0,0,0
190165,0,0,0,0,0,0,0,0,0,0,0
190168,0,0,0,0,0,0,0,0,0,0,0
191116,0,1,1,1,1,1,1,1,0,1,1
191130,1,1,1,1,1,1,1,1,1,0,1
191139,1,1,1,1,0,1,1,1,0,1,1
191162,0,0,0,0,1,1,0,0,0,0,0
191201,1,1,1,1,0,1,1,1,1,1,1
193283,0,0,0,0,0,0,0,0,0,0,0
195707,0,0,0,0,0,0,0,0,0,0,0
195749,0,0,0,0,0,0,0,0,0,0,0
195784,0,0,0,0,0,1,0,0,0,0,0
196241,0,0,0,0,0,1,0,0,0,0,0
198397,0,0,0,0,0,0,0,0,0,0,0
198412,1,1,1,1,1,1,1,1,1,0,1
198463,0,0,0,0,0,0,0,0,0,0,0
198484,0,0,0,0,0,1,0,0,0,0,0
198493,0,0,0,0,0,0,0,0,0,0,0
198505,0,0,0,0,0,0,0,0,0,0,0
198580,0,0,0,0,0,0,0,0,0,0,0
198618,0,0,0,0,0,0,0,0,0,0,0
198631,0,0,0,0,0,0,0,0,0,0,0
198646,1,1,1,1,0,1,1,1,1,1,1
198739,0,0,0,0,0,1,0,0,0,0,0
198799,0,0,0,0,0,0,0,0,0,0,0
199732,1,0,0,1,1,1,1,0,1,0,1
199854,0,0,0,0,0,1,0,0,0,0,0
199858,0,0,0,0,0,1,0,0,0,0,0
199911,0,0,0,0,0,1,0,0,0,0,0
200000,0,0,0,0,0,0,0,0,0,0,0
200010,0,0,0,0,0,0,0,0,0,0,0
202249,0,0,0,0,0,0,0,0,0,0,0
202250,0,0,0,0,0,0,0,0,0,0,0
202341,0,0,0,0,0,0,0,0,0,0,0
202391,0,0,0,0,0,0,0,0,0,0,0
202394,0,0,0,0,0,0,0,0,0,0,0
202475,0,0,0,0,0,0,0,0,0,0,0
202481,0,0,0,0,0,0,0,0,0,0,0
202572,0,0,0,0,0,0,0,0,0,0,0
202587,0,0,0,0,0,0,0,0,0,0,0
202679,0,0,0,0,0,1,0,0,0,0,0
202683,0,0,0,0,0,1,0,0,0,0,0
202712,0,0,0,0,0,1,0,0,0,0,0
202734,1,1,1,1,1,1,1,1,1,1,1
202742,1,1,1,1,1,1,1,1,1,0,1
203894,0,0,0,0,0,0,0,0,0,0,0
203947,0,0,0,0,0,0,0,0,0,0,0
203992,1,0,1,1,1,1,1,1,1,1,1
204011,0,0,0,0,0,1,0,0,0,1,0
204135,1,1,1,1,1,1,1,1,1,1,1
204207,1,1,1,1,1,1,1,1,1,0,1
204463,0,0,0,0,0,0,0,0,0,0,0
204476,0,0,0,0,0,1,0,0,0,0,0
204720,1,1,1,1,1,1,1,1,1,1,1
204947,0,0,0,0,0,1,0,0,0,0,0
207307,1,1,1,1,1,1,1,1,1,1,1
207355,1,1,1,1,1,1,1,1,1,1,1
207388,0,0,0,0,0,0,0,0,0,0,0
207428,0,0,0,0,0,0,0,0,0,0,0
207467,0,0,0,0,0,0,0,0,0,0,0
207537,0,0,0,0,0,0,0,0,0,0,0
207543,0,0,0,0,0,0,0,0,0,0,0
207613,0,0,0,0,0,0,0,0,0,0,0
207625,1,1,1,1,1,1,1,1,1,0,1
207694,1,1,1,1,1,1,1,1,1,1,1
207710,1,1,1,1,1,1,1,1,1,1,1
207734,1,1,1,1,1,1,1,1,1,0,1
207751,0,0,1,1,0,0,1,0,1,0,0
207756,1,1,1,1,1,1,1,1,1,1,1
207783,1,1,1,1,1,1,1,1,1,1,1
207793,1,1,1,1,1,1,1,1,1,1,1
207812,1,1,1,1,1,1,1,1,1,0,1
208886,1,1,1,1,1,1,1,1,1,1,1
208900,1,0,1,1,0,1,1,1,1,0,1
208933,1,1,1,1,1,1,1,1,1,0,1
208986,1,1,1,1,1,1,1,1,1,0,1
209100,1,1,1,1,1,1,1,1,1,0,1
209272,1,1,1,1,1,1,1,1,1,1,1
209348,1,1,1,1,1,1,1,1,1,0,1
211564,0,0,0,0,0,0,0,0,0,0,0
211600,1,1,1,1,1,1,1,1,1,1,1
211614,1,1,1,1,1,1,1,1,1,1,1
211618,0,0,0,0,0,0,0,0,0,0,0
211656,1,1,1,1,1,1,1,1,1,1,1
211679,1,1,1,1,1,1,1,1,1,1,1
211767,1,1,1,1,1,1,1,1,1,1,1
211810,1,1,1,1,1,1,1,1,1,1,1
211812,1,1,0,1,1,1,1,1,1,1,1
211817,1,1,1,1,1,1,1,1,1,1,1
211835,1,1,1,1,1,1,1,1,1,1,1
211879,1,1,1,1,1,1,1,1,1,1,1
211908,0,0,0,0,0,0,0,0,0,0,0
211916,0,0,0,0,0,0,0,0,0,0,0
211944,1,1,1,1,1,1,1,1,1,1,1
211964,1,1,0,1,1,1,1,1,1,0,1
212033,1,1,1,1,1,1,1,1,1,1,1
212051,1,1,1,1,1,1,1,1,1,0,1
212155,0,0,0,0,0,1,0,0,0,0,0
212244,1,1,1,1,1,1,1,1,1,0,1
212245,1,1,1,1,1,1,1,1,1,1,1
212261,1,1,1,1,1,1,1,1,1,0,1
213667,0,0,0,0,0,0,0,0,0,0,0
213744,1,1,1,1,1,1,1,1,1,1,1
215839,0,0,0,0,0,0,0,0,0,0,0
215847,0,0,0,0,0,0,0,0,0,0,0
215859,1,1,1,1,1,1,1,1,1,1,1
215935,0,0,0,0,0,0,0,0,0,0,0
215943,0,0,0,0,0,0,0,0,0,0,0
215983,0,0,0,0,0,0,0,0,0,0,0
216004,0,0,0,0,0,0,0,0,0,0,0
216023,0,0,0,0,0,0,0,0,0,0,0
216083,0,0,0,0,0,0,0,0,0,0,0
216157,0,0,0,0,0,0,0,0,0,0,0
216177,0,0,0,0,0,0,0,0,0,0,0
216225,1,1,1,1,1,1,1,1,1,1,1
216235,0,0,1,1,0,1,0,1,0,0,0
216262,0,0,0,0,0,1,0,0,0,0,0
216273,1,1,1,1,1,1,1,1,1,0,1
216298,1,1,1,1,1,1,1,1,1,1,1
216308,0,0,0,0,0,0,0,0,0,0,0
216430,0,0,0,0,0,0,0,0,0,0,0
216458,1,1,1,1,1,1,1,1,1,0,1
216525,1,1,1,1,1,1,1,1,1,1,1
216533,1,1,1,1,1,1,1,1,1,1,1
216548,0,0,0,0,0,0,0,0,0,0,0
217784,1,1,1,1,1,1,1,1,1,0,1
217865,0,0,0,0,0,0,0,0,0,0,0
218122,1,1,1,1,1,1,1,1,1,0,1
220266,0,0,0,0,0,0,0,0,0,0,0
220269,1,1,1,1,1,1,1,1,1,0,1
220286,0,0,0,0,0,0,0,0,0,0,0
220292,0,0,0,0,0,0,0,0,0,0,0
220306,0,0,0,0,0,0,0,0,0,0,0
220308,0,0,0,0,0,1,0,0,0,0,0
220348,0,0,0,0,0,0,0,0,0,0,0
220362,1,1,1,1,1,1,1,1,1,1,1
220376,0,0,0,0,0,0,0,0,0,0,0
220388,0,0,0,0,0,0,0,0,0,0,0
220422,0,0,0,0,0,0,0,0,0,0,0
220489,0,0,0,0,0,0,0,0,0,0,0
220500,1,1,1,1,0,1,1,1,1,1,1
220524,1,1,1,1,1,1,1,1,1,1,1
220604,1,1,1,1,1,1,1,1,1,1,1
220612,0,0,0,0,0,0,0,0,0,0,0
220627,0,0,0,0,0,0,0,0,0,0,0
220653,0,0,0,0,0,0,0,0,0,0,0
220673,1,1,1,1,0,0,1,1,1,1,1
220676,0,0,0,0,0,0,0,0,0,0,0
220855,0,0,0,0,0,1,0,0,0,0,0
220948,0,0,0,0,0,0,0,0,0,0,0
221096,1,1,1,1,1,1,1,1,1,1,1
221101,1,1,1,1,1,1,1,1,1,1,1
222105,1,1,1,1,1,1,1,1,1,0,1
222153,1,1,1,1,1,1,1,1,1,0,1
222434,0,0,0,0,0,0,0,0,0,0,0
222557,0,0,0,0,0,0,0,0,0,0,0
222622,0,0,0,0,0,0,0,0,0,0,0
222764,1,1,1,1,1,1,1,1,1,1,1
222874,1,1,1,1,1,1,1,1,1,1,1
222982,1,1,1,1,1,1,1,1,1,1,1
223036,0,0,0,0,0,0,0,0,0,0,0
223094,1,1,1,1,1,1,1,1,1,0,1
223099,1,1,1,1,1,1,1,1,1,1,1
223138,1,1,1,1,1,1,1,1,1,1,1
223153,1,1,1,1,1,1,1,1,1,1,1
223898,1,1,1,1,1,1,1,1,1,0,1
223914,1,1,1,1,1,1,1,1,1,1,1
223964,1,1,1,1,1,1,1,1,1,1,1
224045,0,0,0,0,0,0,0,0,0,0,0
224106,1,1,1,1,1,1,1,1,1,1,1
